ID;Atleta;Sesso;Titoli;Data di nascita;Peso;Link;Foto;ID genealogico
1;Donato Merola;M;-;?;?;-;2005/dscn5398.jpg;I3880
2;Nicola D'Auria;M;-;?;?;-;2007/XIX13.jpg;I19
3;Balduino Farina;M;-;?;?;-;-;I312
4;Massimo Russomanno;M;-;?;?;-;2007/XIX17.jpg;I189
5;Felicino Caruso;M;-;?;?;-;2017/FelicinoCaruso.jpg;I10276
6;Tonuccio Corona;M;-;?;?;-;-;I5742
7;Gualfardo Montanari di Pasq.;M;-;?;?;-;-;I1251
8;Armando Sturchio;M;-;?;?;-;-;I40
9;Nicola Majorana;M;-;?;?;-;-;I1511
10;Gerardo Ceres;M;-;?;?;-;-;I798
11;Gelsomino Merola;M;-;?;?;-;2006/f39.jpg;I6175
12;Alfonso Nesta;M;-;?;?;-;-;I8598
13;Lorenzo Sozio;M;-;?;?;-;-;I411
14;Rocco Caruso;M;-;?;?;-;-;I10303
15;Antonio Viscido;M;-;?;?;-;-;I1473
16;Vito D'Alessio;M;-;?;?;-;2018/Stra18_38.jpg;I9533
17;Franco Malanga;M;-;?;?;-;-;I2574
18;Alfonso Sturchio;M;-;?;?;-;2017/AlfonsoSturchio.jpg;I41
19;Salvatore Russomanno;M;-;?;?;-;-;I577
20;Franco Maroso;M;-;?;?;-;-;I929
21;Gualfardo Montanari di Agost.;M;-;?;?;-;-;I1259
22;Salvatore Casillo;M;-;?;?;-;-;I8587
23;Angelino Cetrulo;M;-;?;?;-;2017/AngelinoCetrulo.jpg;I7079
24;Sandro Russomanno;M;-;?;?;-;-;I309
25;Lorenzo Castagno;M;-;?;?;-;-;I10249
26;Pasquale Ceres;M;-;1974;?;http://irlug.altervista.org;varie/dscn5313.jpg;I0000
27;Luciano Rosania;M;-;?;?;-;-;I10316
28;Michele Ceres;M;-;1976;?;-;-;I0003
29;Alessandro Russomanno;M;-;?;?;-;2007/XIX36.jpg;I18
30;Antonio Ceres;M;-;?;?;-;2005/dscn5307.jpg;I801
31;Benedetto Alifano;M;-;?;?;-;-;I1606
32;Gino Amendola;M;-;?;?;-;2007/XIX49.jpg;I5560
33;Giovanni Curcio;M;-;?;?;-;-;I415
34;Antonello Malanga;M;-;?;?;-;-;I2573
35;Nicola Vetromile;M;-;?;?;-;-;I1296
36;Toni Biondi;M;-;?;?;-;-;I1155
37;Franco Russomanno;M;-;?;?;-;-;I9442
38;Felice Di Trolio;M;-;?;?;-;-;I3287
39;Massimo Cetrulo;M;-;?;?;-;-;I822
40;Roberto Notaro;M;-;?;?;-;2005/dscn5354.jpg;I5705
41;Pasquale Farina Hz;M;-;?;?;-;-;I10317
42;Giuseppe Rosania;M;-;?;?;-;2005/dscn3897.jpg;I6309
43;Gerardo Gervasio;M;-;?;?;-;-;-
44;Armando Grasso di Gels.;M;-;?;?;-;-;I2675
45;Gerardo Notaro;M;-;?;?;http://www.caposeleonline.it;2017/GerardoNotaro.jpg;I5704
46;Pasquale Ciccone;M;-;?;?;-;-;I986
47;Mario Nesta;M;-;?;?;-;-;I8599
48;Gerardo Ceres di Lor.;M;-;?;?;-;-;I431
49;Luciano Viscido;M;-;?;?;-;2017/LucianoViscido.jpg;I1515
50;Gianni Cetrulo;M;-;?;?;-;2017/GianniCetrulo.jpg;I7076
51;Donato Ceres;M;-;?;?;-;2017/DonatoCeres.jpg;I769
52;Alfonso Guarino;M;-;?;?;-;-;I6424
53;Armando Grasso di Raff.;M;-;?;?;-;-;I2678
54;Maurizio Sturchio;M;-;?;?;-;-;I2732
55;Gerardo Sista;M;-;?;?;-;-;I1011
56;Lorenzo Corona;M;-;?;?;-;-;I11545
57;Vincenzo D'Elia;M;-;?;?;-;-;I11571
58;Adriano Caruso;M;-;?;?;-;-;I7702
59;Damian Mino;M;-;?;?;-;-;-
60;Davide Liloia;M;-;?;?;-;-;I6428
61;Gerardo Nisivoccia;M;-;?;?;-;-;I969
62;Pietro D'Alessio;M;-;?;?;-;-;I11586
63;Alfonso Nesta Pzpz;M;-;?;?;-;-;I8598
64;Rocco Grasso;M;-;1980;?;-;2017/RoccoGrasso.jpg;I3180
65;Benedetto Montanari;M;-;?;?;-;2017/BenedettoMontanari.jpg;I1261
66;Rocco Rosania;M;-;?;?;-;-;-
67;Angelo Ciccone;M;-;?;?;-;-;I6476
68;Angelo Ceres;M;-;?;?;-;-;I54
69;Lello Viscardi;M;-;?;?;-;-;I2383
70;Nicola Melillo;M;-;?;?;-;2019/stra19_14.jpg;I11547
71;Balduino Del Guercio;M;-;?;?;-;-;I1357
